,Wojewodztwo,ICD10,Rok,Liczba
890,2,C61,2002,18
891,2,C61,2003,18
892,2,C61,2004,18
893,2,C61,2005,18
894,2,C61,2006,18
895,2,C61,2007,18
896,2,C61,2008,18
897,2,C61,2009,18
898,2,C61,2010,18
899,2,C61,2011,18
900,2,C61,2012,18
901,2,C61,2013,9
902,2,C61,2014,18
903,2,C61,2015,36
904,2,C62,1999,18
905,2,C62,2000,18
906,2,C62,2001,18
907,2,C62,2002,18
908,2,C62,2003,18
909,2,C62,2004,18
910,2,C62,2005,18
911,2,C62,2006,18
912,2,C62,2007,18
913,2,C62,2008,18
914,2,C62,2009,18
915,2,C62,2010,18
916,2,C62,2011,18
917,2,C62,2012,18
918,2,C62,2013,12
919,2,C62,2014,18
920,2,C62,2015,36
921,2,C63,1999,18
922,2,C63,2000,18
923,2,C63,2001,18
924,2,C63,2002,18
925,2,C63,2003,18
926,2,C63,2004,18
927,2,C63,2005,18
928,2,C63,2006,18
929,2,C63,2007,18
930,2,C63,2008,18
931,2,C63,2009,18
932,2,C63,2010,18
933,2,C63,2011,18
934,2,C63,2012,18
935,2,C63,2013,1
936,2,C63,2014,18
937,2,C63,2015,36
938,2,C64,1999,36
939,2,C64,2000,36
940,2,C64,2001,36
941,2,C64,2002,36
942,2,C64,2003,36
943,2,C64,2004,36
944,2,C64,2005,36
945,2,C64,2006,36
946,2,C64,2007,36
947,2,C64,2008,36
948,2,C64,2009,36
949,2,C64,2010,36
950,2,C64,2011,36
951,2,C64,2012,36
952,2,C64,2013,25
953,2,C64,2014,36
954,2,C64,2015,36
955,2,C65,1999,36
956,2,C65,2000,36
957,2,C65,2001,18
958,2,C65,2002,36
959,2,C65,2003,36
960,2,C65,2004,18
961,2,C65,2005,36
962,2,C65,2006,36
963,2,C65,2007,36
964,2,C65,2008,36
965,2,C65,2009,36
966,2,C65,2010,36
967,2,C65,2011,36
968,2,C65,2012,36
969,2,C65,2013,9
970,2,C65,2014,36
971,2,C65,2015,36
972,2,C66,1999,18
973,2,C66,2000,36
974,2,C66,2001,36
975,2,C66,2002,36
976,2,C66,2003,18
977,2,C66,2004,36
978,2,C66,2005,18
979,2,C66,2006,36
980,2,C66,2007,36
981,2,C66,2008,36
982,2,C66,2009,36
983,2,C66,2010,18
984,2,C66,2011,36
985,2,C66,2012,36
986,2,C66,2013,7
987,2,C66,2014,36
988,2,C66,2015,36
989,2,C67,1999,36
990,2,C67,2000,36
991,2,C67,2001,36
992,2,C67,2002,36
993,2,C67,2003,36
994,2,C67,2004,36
995,2,C67,2005,36
996,2,C67,2006,36
997,2,C67,2007,36
998,2,C67,2008,36
999,2,C67,2009,36
1000,2,C67,2010,36
1001,2,C67,2011,36
1002,2,C67,2012,36
1003,2,C67,2013,19
1004,2,C67,2014,36
1005,2,C67,2015,36
1006,2,C68,1999,36
1007,2,C68,2000,36
1008,2,C68,2001,36
1009,2,C68,2002,18
1010,2,C68,2003,36
1011,2,C68,2004,36
1012,2,C68,2005,36
1013,2,C68,2006,18
1014,2,C68,2007,36
1015,2,C68,2008,36
1016,2,C68,2009,36
1017,2,C68,2010,36
1018,2,C68,2011,36
1019,2,C68,2012,36
1020,2,C68,2013,4
1021,2,C68,2014,18
1022,2,C68,2015,36
1023,2,C69,1999,36
1024,2,C69,2000,36
1025,2,C69,2001,36
1026,2,C69,2002,36
1027,2,C69,2003,36
1028,2,C69,2004,36
1029,2,C69,2005,36
1030,2,C69,2006,36
1031,2,C69,2007,36
1032,2,C69,2008,36
1033,2,C69,2009,36
1034,2,C69,2010,36
1035,2,C69,2011,36
1036,2,C69,2012,36
1037,2,C69,2013,11
1038,2,C69,2014,36
1039,2,C69,2015,36
1040,2,C70,1999,36
1041,2,C70,2000,36
1042,2,C70,2001,36
1043,2,C70,2002,36
1044,2,C70,2003,36
1045,2,C70,2004,36
1046,2,C70,2005,36
1047,2,C70,2006,18
1048,2,C70,2007,36
1049,2,C70,2008,36
1050,2,C70,2009,36
1051,2,C70,2010,36
1052,2,C70,2011,36
1053,2,C70,2012,36
1054,2,C70,2013,1
1055,2,C70,2014,18
1056,2,C70,2015,36
1057,2,C71,1999,36
1058,2,C71,2000,36
1059,2,C71,2001,36
1060,2,C71,2002,36
1061,2,C71,2003,36
1062,2,C71,2004,36
1063,2,C71,2005,36
1064,2,C71,2006,36
1065,2,C71,2007,36
1066,2,C71,2008,36
1067,2,C71,2009,36
1068,2,C71,2010,36
1069,2,C71,2011,36
1070,2,C71,2012,36
1071,2,C71,2013,35
1072,2,C71,2014,36
1073,2,C71,2015,36
1074,2,C72,1999,36
1075,2,C72,2000,36
1076,2,C72,2001,36
1077,2,C72,2002,36
1078,2,C72,2003,36
1079,2,C72,2004,36
1080,2,C72,2005,36
1081,2,C72,2006,36
1082,2,C72,2007,36
1083,2,C72,2008,36
1084,2,C72,2009,36
1085,2,C72,2010,36
1086,2,C72,2011,36
1087,2,C72,2012,36
1088,2,C72,2013,6
1089,2,C72,2014,18
1090,2,C72,2015,36
1091,2,C73,1999,36
1092,2,C73,2000,36
1093,2,C73,2001,36
1094,2,C73,2002,36
1095,2,C73,2003,36
1096,2,C73,2004,36
1097,2,C73,2005,36
1098,2,C73,2006,36
1099,2,C73,2007,36
1100,2,C73,2008,36
1101,2,C73,2009,36
1102,2,C73,2010,36
1103,2,C73,2011,36
1104,2,C73,2012,36
1105,2,C73,2013,26
1106,2,C73,2014,36
1107,2,C73,2015,36
1108,2,C74,1999,36
1109,2,C74,2000,36
1110,2,C74,2001,36
1111,2,C74,2002,36
1112,2,C74,2003,36
1113,2,C74,2004,36
1114,2,C74,2005,36
1115,2,C74,2006,36
1116,2,C74,2007,36
1117,2,C74,2008,36
1118,2,C74,2009,36
1119,2,C74,2010,36
1120,2,C74,2011,36
1121,2,C74,2012,36
1122,2,C74,2013,11
1123,2,C74,2014,36
1124,2,C74,2015,36
1125,2,C75,1999,36
1126,2,C75,2000,36
1127,2,C75,2001,36
1128,2,C75,2002,36
1129,2,C75,2003,36
1130,2,C75,2004,36
1131,2,C75,2005,36
1132,2,C75,2006,36
1133,2,C75,2007,36
1134,2,C75,2008,36
1135,2,C75,2009,36
1136,2,C75,2010,36
1137,2,C75,2011,36
1138,2,C75,2012,36
1139,2,C75,2013,4
1140,2,C75,2014,36
1141,2,C75,2015,36
